"id","clave","descripcion"
"catalogos_materiales_peligrosos223","0356","OBJETOS EXPLOSIVOS. N.E.P."
"catalogos_materiales_peligrosos224","0357","SUBSTANCIAS EXPLOSIVAS N.E.P."
"catalogos_materiales_peligrosos225","0358","SUBSTANCIAS EXPLOSIVAS N.E.P."
"catalogos_materiales_peligrosos226","0359","SUBSTANCIAS EXPLOSIVAS N.E.P."
"catalogos_materiales_peligrosos227","0360","CONJUNTOS DE DETONADORES NO ELECTRICOS para voladuras"
"catalogos_materiales_peligrosos228","0361","CONJUNTOS DE DETONADORES NO ELECTRICOS para voladuras"
"catalogos_materiales_peligrosos229","0362","MUNICIONES PARA PRACTICAS"
"catalogos_materiales_peligrosos230","0363","MUNICIONES DE PRUEBA"
"catalogos_materiales_peligrosos231","0364","DETONADORES PARA MUNICIONES"
"catalogos_materiales_peligrosos232","0365","DETONADORES PARA MUNICIONES"
"catalogos_materiales_peligrosos233","0366","DETONADORES PARA MUNICIONES"
"catalogos_materiales_peligrosos234","0367","ESPOLETAS DETONANTES"
"catalogos_materiales_peligrosos235","0368","ESPOLETAS DE IGNICION"
"catalogos_materiales_peligrosos236","0369","CABEZAS DE COMBATE PARA COHETES con carga explosiva"
"catalogos_materiales_peligrosos237","0370","CABEZAS DE COMBATE PARA COHETES con carga detonante o carga expulsora"
"catalogos_materiales_peligrosos238","0371","CABEZAS DE COMBATE PARA COHETES con carga detonante o carga expulsora"
"catalogos_materiales_peligrosos239","0372","GRANADAS DE EJERCICIOS de mano o de fusil"
"catalogos_materiales_peligrosos240","0373","ARTIFICIOS MANUALES DE PIROTECNIA PARA SEÑALES"
"catalogos_materiales_peligrosos241","0374","CARGAS EXPLOSIVAS PARA SONDEOS"
"catalogos_materiales_peligrosos242","0375","CARGAS EXPLOSIVAS PARA SONDEOS"
"catalogos_materiales_peligrosos243","0376","CEBOS TUBULARES"
"catalogos_materiales_peligrosos244","0377","CEBOS TIPO CAPSULA"
"catalogos_materiales_peligrosos245","0378","CEBOS TIPO CAPSULA"
"catalogos_materiales_peligrosos246","0379","CARTUCHOS VACIOS CON FULMINANTE"
"catalogos_materiales_peligrosos247","0380","OBJETOS PIROFORICOS"
"catalogos_materiales_peligrosos248","0381","CARTUCHOS DE ACCIONAMIENTO"
"catalogos_materiales_peligrosos249","0382","COMPONENTES PARA CADENAS EXPLOSIVAS N.E.P."
"catalogos_materiales_peligrosos250","0383","COMPONENTES PARA CADENAS EXPLOSIVAS N.E.P."
"catalogos_materiales_peligrosos251","0384","COMPONENTES PARA CADENAS EXPLOSIVAS N.E.P."
"catalogos_materiales_peligrosos252","0385","5-NITROBENZOTRIAZOL"
"catalogos_materiales_peligrosos253","0386","ACIDO TRINITROBENCENOSULFONICO"
"catalogos_materiales_peligrosos254","0387","TRINITROFLUORANONA"
"catalogos_materiales_peligrosos255","0388","MEZCLAS DE TRINITROTOLUENO (TNT) Y TRINITROBENCENO o MEZCLAS DE TRINITROTOLUENO (TNT) Y HEXANITROETILBENCENO "
"catalogos_materiales_peligrosos256","0389","MEZCLAS DE TRINITROTOLUENO (TNT) CON TRINITROBENCENO Y HEXANITROESTILBENO"
"catalogos_materiales_peligrosos257","0390","TRITONAL"
"catalogos_materiales_peligrosos258","0391","MEZCLAS DE CICLOTRIMETILENTRINITRAMINA (CICLONITA EXOGENO; RDX) Y CICLOTETRAMETILENTETRANITRAMINA (OCTOGENO HMX) MEZCLAS HUMEDECIDAS con un mínimo de 15% en masa de agua o MEZCLAS DE CICLOTETRAMETILENTRINITRAMINA (HMX; OCTOGENO) DESENSIBILIZADAS con no menos de10% en masa de inhibidor"
"catalogos_materiales_peligrosos259","0392","HEXANITROESTILBENO"
"catalogos_materiales_peligrosos260","0393","HEXOTONAL"
"catalogos_materiales_peligrosos261","0394","TRINITRORRESORCINOL (ACIDO ESTIFNICO) HUMEDECIDO con no menos de 20% en masa de agua o de una mezcla de alcohol y agua"
"catalogos_materiales_peligrosos262","0395","MOTORES DE COHETE DE COMBUSTIBLE LIQUIDO"
"catalogos_materiales_peligrosos263","0396","MOTORES DE COHETE DE COMBUSTIBLE LIQUIDO"
"catalogos_materiales_peligrosos264","0397","COHETES DE COMBUSTIBLE LIQUIDO con carga explosiva"
"catalogos_materiales_peligrosos265","0398","COHETES DE COMBUSTIBLE LIQUIDO con carga explosiva"
"catalogos_materiales_peligrosos266","0399","BOMBAS QUE CONTIENEN UN LIQUIDO INFLAMABLE con carga explosiva"
"catalogos_materiales_peligrosos267","0400","BOMBAS QUE CONTIENEN UN LIQUIDO INFLAMABLE con carga explosiva"
"catalogos_materiales_peligrosos268","0401","SULFURO DE DIPICRILO seco o humedecido con menos de 10% en masa de agua"
"catalogos_materiales_peligrosos269","0402","PERCLORATO DE AMONIO"
"catalogos_materiales_peligrosos270","0403","BENGALAS AEREAS"
"catalogos_materiales_peligrosos271","0404","BENGALAS AEREAS"
"catalogos_materiales_peligrosos272","0405","CARTUCHOS DE SEÑALES"
"catalogos_materiales_peligrosos273","0406","DINITROSOBENCENO"
"catalogos_materiales_peligrosos274","0407","ACIDO TETRAZOL-1-ACETICO"
"catalogos_materiales_peligrosos275","0408","ESPOLETAS DETONANTES con dispositivos de protección"
"catalogos_materiales_peligrosos276","0409","ESPOLETAS DETONANTES con dispositivos de protección"
"catalogos_materiales_peligrosos277","0410","ESPOLETAS DETONANTES con dispositivos de protección"
"catalogos_materiales_peligrosos278","0411","TETRANITRATO DE PENTAERITRITO (TETRANITRATO DE PENTAERITRITOL; TNPE) con un mínimo de 7% en masa de cera"
"catalogos_materiales_peligrosos279","0412","CARTUCHOS PARA ARMAS con carga explosiva"
"catalogos_materiales_peligrosos280","0413","CARTUCHOS PARA ARMAS SIN BALA"
"catalogos_materiales_peligrosos281","0414","CARGAS PROPULSORAS DE ARTILLERIA"
